post_id,post_text,sentiment
651118294447951872,"#AntiTerror ""#ArabianBlood"" #RussianFederation in #Syria against #DAISH [""IS""]\n#RussianAviation #AirOperations in... http://t.co/DjLMYpTe3z",positive
651115824065830912,"#АнтиТеррор ""#АрабскаяКровь"" #РФ в #Сирии против #ДАИШ [""ИГ""]\n#ВоздушнаяОперация #РоссийскойАвиации в #САР... http://t.co/Ws48JXMGJ1",neutral
651095856662360065,"Ну чё, сегодня надавали трендюлей игиловцам по полной.http://t.co/9214Lz5Awn..\nhttps://t.co/gvsdUZmaXa",positive
651086828234104832,Действия России в Сирии  безукоризненны. Видео авиаударов по объектам ИГИЛ http://t.co/KG4quIDoTF http://t.co/1dkfmxppJe,positive
651034616007106560,5-10-2015\nThe airstrike against an ISIS ammunition depot near Talbiseh settlement (Homs). A number of flashes... http://t.co/TBiUbdLd4U,neutral
651021070842134528,DESTRUCTION COMPLÈTE D'UN ATELIER DE FABRICATION D'EXPLOSIFS ET DE MUNITIONS A HOMS http://t.co/qCbHcuSMqN,negative
651014113536020483,ロシア軍のシリア空爆。ホムス近郊で弾薬庫を撃破したと解説にあるけど、相変わらずイスラム国に打撃を与えたと言い張ってる（ホムス近郊には居ない）　https://t.co/NrEPIhLkgB,negative
651009053464915968,The airstrike against an @ISIS ammunition depot near Talbiseh settlement (Homs). https://t.co/ZfOvdVj6Hx,neutral
650995498887872512,"Тут САС вчера войну РФ объявила, а тут возле хомса их склад боеприпасов - был.\nhttps://t.co/fR1fCDw6n2",negative
650994479860686848,Russian defense ministry releases footage of renewed strikes in #Syria https://t.co/5j4cDUtebl,neutral
